
A-473	edamame	edamame	soy milk	soy milk	b.	
A-473	celery	celery	eggplant	eggplant	k. cucumber l. curly cabbage m.	
A-473	milk	milk	tofu	tofu	c. tempeh d.	
A-473	cranberries	cranberries	cabbage	cabbage	g. goji berries h. pecans i. purple	
A-473	squash	squash	asparagus	asparagus	b.	
A-473	saccharin	saccharin	stevia	stevia	f.	
A-473	corn	corn	brown sugar	brown sugar	syrup e. dark	
A-473	beverage	beverage	juice	juice	: a. apple	
A-473	tea	tea	orange	orange	e.	
A-473	fiddlehead ferns	fiddlehead ferns	cabbage	cabbage	q. garlic r. green bean s. green	
A-473	juice	juice	coffee	coffee	from concentrate b. cranberry juice cocktail c. hot	
A-473	fennel	fennel	garlic	garlic	p. fiddlehead ferns q.	
A-473	beverage	beverage	cranberry juice	cranberry juice	: a. apple juice from concentrate b.	
A-473	broccoli	broccoli	sprouts	sprouts	g. brussels	
A-473	juice	juice	cranberry	cranberry	from concentrate b.	
A-473	boston	boston	brussels sprouts	brussels sprouts	lettuce f. broccoli g.	
A-473	pepper	pepper	radicchio	radicchio	y. potato z.	
A-473	asparagus	asparagus	lettuce	lettuce	c. beets d. bok choi e. boston	
A-473	cocoa	cocoa	apple	apple	powder h. a teaspoon of cinnamon i. an	
A-473	cinnamon	cinnamon	berries	berries	e. cloves f. cranberries g. goji	
A-473	cocoa	cocoa	chocolate	chocolate	powder d. dark	
A-473	antioxidants	antioxidants	berries	berries	per serving: a. a half cup of acai	
A-473	brown rice syrup	brown rice syrup	sugar	sugar	d. corn syrup e. dark brown	
A-473	cranberries	cranberries	goji berries	goji berries	g.	
A-473	cocoa	cocoa	cinnamon	cinnamon	powder h. a teaspoon of	
A-473	artichokes	artichokes	cloves	cloves	d. cinnamon e.	
A-473	boiling	boiling	cooking	cooking	c. frying d. griddling e. microwaving f. pressure	
A-473	erythritol	erythritol	xylitol	xylitol	e. saccharin f. stevia g. sucralose h.	
A-473	cranberry juice	cranberry juice	coffee	coffee	cocktail c. hot	
A-473	agave nectar	agave nectar	rice	rice	b. blackstrap molasses c. brown	
A-473	fennel	fennel	fiddlehead ferns	fiddlehead ferns	p.	
