
exercise	exercise	fruits	fruits	is down, and the number of people eating just five servings of	
obesity	obesity	fruits	fruits	is up, exercise is down, and the number of people eating just five servings of	
smoking	smoking	fruits	fruits	, not overweight, five daily servings of	
smoking	smoking	vegetables	vegetables	, not overweight, five daily servings of fruits and	
americans	americans	smoking	smoking	at the turn of the 21st century had the following four healthy lifestyle characteristics: not	
americans	americans	fruits	fruits	at the turn of the 21st century had the following four healthy lifestyle characteristics: not smoking, not overweight, five daily servings of	
americans	americans	vegetables	vegetables	at the turn of the 21st century had the following four healthy lifestyle characteristics: not smoking, not overweight, five daily servings of fruits and	
diet score	diet score	soda	soda	–which is based on things like drinking less than four cups of	
diet score	diet score	americans	americans	–which is based on things like drinking less than four cups of soda a week–a scale of zero to five, only about 1% of	
diet	diet	soda	soda	score–which is based on things like drinking less than four cups of	
diet	diet	americans	americans	score–which is based on things like drinking less than four cups of soda a week–a scale of zero to five, only about 1% of	
soda	soda	americans	americans	a week–a scale of zero to five, only about 1% of	
disease	disease	children	children	may be present by age 20—with atherosclerosis often even present in young	
disease	disease	young children	young children	may be present by age 20—with atherosclerosis often even present in	
risk	risk	diet	diet	factors ever published, the number one cause of death and disability in the united states is our	
risk	risk	united states	united states	factors ever published, the number one cause of death and disability in the	
fruit	fruit	salt	salt	, we don’t eat enough nuts and seeds, we eat too much	
fruit	fruit	nuts	nuts	, we don’t eat enough	
fruit	fruit	processed meat	processed meat	, we don’t eat enough nuts and seeds, we eat too much salt, too much	
fruit	fruit	meat	meat	, we don’t eat enough nuts and seeds, we eat too much salt, too much processed	
fruit	fruit	seeds	seeds	, we don’t eat enough nuts and	
fruit	fruit	vegetables	vegetables	, we don’t eat enough nuts and seeds, we eat too much salt, too much processed meat, and not enough	
diet	diet	salt	salt	are: we don’t eat enough fruit, we don’t eat enough nuts and seeds, we eat too much	
diet	diet	nuts	nuts	are: we don’t eat enough fruit, we don’t eat enough	
diet	diet	processed meat	processed meat	are: we don’t eat enough fruit, we don’t eat enough nuts and seeds, we eat too much salt, too much	
diet	diet	meat	meat	are: we don’t eat enough fruit, we don’t eat enough nuts and seeds, we eat too much salt, too much processed	
diet	diet	seeds	seeds	are: we don’t eat enough fruit, we don’t eat enough nuts and	
diet	diet	vegetables	vegetables	are: we don’t eat enough fruit, we don’t eat enough nuts and seeds, we eat too much salt, too much processed meat, and not enough	
salt	salt	processed meat	processed meat	, too much	
salt	salt	meat	meat	, too much processed	
salt	salt	vegetables	vegetables	, too much processed meat, and not enough	
disease	disease	fruit	fruit	study, the worst five things about our diet are: we don’t eat enough	
disease	disease	salt	salt	study, the worst five things about our diet are: we don’t eat enough fruit, we don’t eat enough nuts and seeds, we eat too much	
