
V-87	supplements	supplements	potassium	potassium	containing 150mcg of	
V-87	women	women	vitamins	vitamins	take prenatal	
V-87	women	women	iodine	iodine	take	
V-87	multivitamins	multivitamins	iodine	iodine	contain any	
V-87	pregnancy	pregnancy	pregnant women	pregnant women	is so convincing that it would be considered unethical to randomize	
V-87	new york city	new york city	pregnant	pregnant	showed only about half of	
V-87	pregnancy	pregnancy	pregnant	pregnant	is so convincing that it would be considered unethical to randomize	
V-87	women	women	prenatal vitamins	prenatal vitamins	take	
V-87	vegetables	vegetables	iodine	iodine	provide	
V-87	new york city	new york city	pregnant women	pregnant women	showed only about half of	
V-87	pregnant women	pregnant women	iodine	iodine	take	
