
V-13	animal proteins	animal proteins	amino acids	amino acids	tend to have more sulfur-containing	
V-13	cholesterol	cholesterol	plaque	plaque	in the	
V-13	colon	colon	risk	risk	cancer	
V-13	death	death	cancer	cancer	from cirrhosis and liver	
V-13	blood	blood	blood pressure	blood pressure	pressure, which go together, since high	
V-13	saturated fat	saturated fat	cholesterol	cholesterol	they have total	
V-13	meat	meat	blood	blood	and you can watch their	
V-13	vegetables	vegetables	dairy	dairy	and low-fat	
V-13	hormones	hormones	farm animals	farm animals	that are fed, injected, or implanted into	
V-13	vision	vision	cataracts	cataracts	loss among the elderly—	
V-13	african	african	colon cancer	colon cancer	americans get more	
V-13	animal products	animal products	treatment	treatment	—but this is nothing new.the successful	
V-13	heme iron	heme iron	iron	iron	is the form of	
V-13	cirrhosis	cirrhosis	liver	liver	and	
V-13	arthritis	arthritis	fish	fish	have striking elevations in antibodies to foods like	
V-13	diabetes	diabetes	cancer	cancer	and	
V-13	vegetarian	vegetarian	diet	diet		
V-13	prostate	prostate	chemo	chemo	cancer without	
V-13	cancer	cancer	meat	meat	development, they asked lung cancer patients how much	
V-13	iron	iron	anemia	anemia	deficiency causes	
V-13	dairy	dairy	hormones	hormones	products.and this isn’t even talking about the synthetic	
V-13	disease	disease	diet	diet	can be reversed with a plant-based	
V-13	colon	colon	cancer	cancer		
V-13	iron	iron	chicken	chicken	—about two-thirds more than	
V-13	bmaa	bmaa	seafood	seafood	present in florida	
V-13	disease	disease	cholesterol	cholesterol	is practically unheard of when total serum	
V-13	diet	diet	plant-based diet	plant-based diet	quality indexes to their logical conclusion, the most	
V-13	cancer	cancer	lung cancer	lung cancer	development, they asked	
V-13	hibiscus	hibiscus	blood pressure	blood pressure	tea with each meal significantly lowers	
V-13	meat	meat	cancer	cancer	-related lung	
V-13	surgeon general	surgeon general	smoking	smoking	’s report against	
V-13	glycotoxins	glycotoxins	meat	meat	are found in	
V-13	animal protein	animal protein	blood	blood	consumption causes an increase in	
V-13	women	women	milk	milk	attempting conception may want to consider avoiding	
V-13	plant foods	plant foods	beans	beans	—whole grains, vegetables, fruits,	
V-13	diabetes	diabetes	diet	diet	association	
V-13	des	des	pregnant	pregnant	is another synthetic estrogen marketed to	
V-13	meta-analysis	meta-analysis	plant-based diets	plant-based diets	showed that vegetarian diets were good, but strictly	
V-13	americans	americans	diet	diet	every year, but	
V-13	animal protein	animal protein	risk	risk	that is most responsible for the increased cancer	
V-13	cancer	cancer	risk	risk	than someone with a low-protein diet—a mortality	
V-13	des	des	women	women	is another synthetic estrogen marketed to pregnant	
V-13	diet	diet	oxidative stress	oxidative stress	contributes to low-grade systemic inflammation,	
V-13	plant-based diet	plant-based diet	diet	diet	would be the most healthy	
V-13	smoking	smoking	lung cancer	lung cancer	is responsible for 90% of	
V-13	meat	meat	iron	iron	: protein and	
V-13	antibodies	antibodies	dairy	dairy	to foods like fish, pork, egg whites,	
V-13	protein	protein	risk	risk	didn’t have just four times more	
V-13	americans	americans	colon cancer	colon cancer	get more	
V-13	california	california	marketing	marketing	raisin	
V-13	prostate	prostate	surgery	surgery	cancer without chemo,	
V-13	environment	environment	grains	grains	to support whole	
V-13	women	women	cancer	cancer	—until 1971 when it was shown to cause	
V-13	cancer	cancer	cancer	cancer	development, they asked lung	
V-13	physicians committee for responsible medicine	physicians committee for responsible medicine	meat	meat	’s “	
V-13	dairy	dairy	smoking	smoking	could be as harmful to health as	
V-13	risk	risk	diabetes	diabetes	for	
V-13	vegetarian	vegetarian	cardiovascular disease	cardiovascular disease	diets in general confer protection against	
V-13	anti-inflammatory	anti-inflammatory	chickpeas	chickpeas	plant foods—whole grains, vegetables, fruits, beans, split peas,	
V-13	tea	tea	blood pressure	blood pressure	with each meal significantly lowers	
V-13	african americans	african americans	colon	colon	get more	
V-13	nuts	nuts	risk	risk	could cut stroke	
V-13	cancer	cancer	cancer	cancer	killer, breast	
V-13	fish	fish	oysters	oysters	and shellfish, like	
V-13	meat	meat	eggs	eggs	products, including dairy and	
V-13	colon	colon	africa	africa	disease still remains rare in	
V-13	diet	diet	drugs	drugs	(and	
V-13	tobacco	tobacco	medical journals	medical journals	industry gave	
V-13	smoking	smoking	cancer	cancer	and lung	
