
T-302	soy	soy	phytonutrients	phytonutrients		
T-302	eggs	eggs	tumor	tumor	and dairy may help stifle	
T-302	meat	meat	eggs	eggs	(especially chicken and fish),	
T-302	women	women	breast cancer	breast cancer	already diagnosed with	
T-302	flax	flax	breast cancer	breast cancer	seeds in	
T-302	vegetables	vegetables	cholesterol	cholesterol	while decreasing	
T-302	fiber	fiber	meta-analysis	meta-analysis	consumed per day.further, a more reliable	
T-302	diet	diet	cruciferous vegetables	cruciferous vegetables	including fiber, flax, soy and	
T-302	risk	risk	cancer	cancer	of dying from breast	
T-302	exercise	exercise	plant-based	plant-based	and (4) a	
T-302	breast cancer	breast cancer	lignans	lignans	correlated with higher serum	
T-302	soy	soy	tumors	tumors	phytonutrients to breast cancer	
T-302	phytonutrients	phytonutrients	dna	dna	might reverse	
T-302	risk	risk	cancer progression	cancer progression	of	
T-302	flax	flax	cancer	cancer	seeds in breast	
T-302	breast cancer	breast cancer	risk	risk		
T-302	brca genes	brca genes	dna	dna	were turned back on, ramping up	
T-302	women	women	breast cancer	breast cancer	will be diagnosed with	
T-302	plant-based diet	plant-based diet	fiber	fiber	including	
T-302	mortality	mortality	soy	soy	and reoccurrence by eating	
T-302	soy	soy	cancer	cancer	phytonutrients to breast	
T-302	cell proliferation	cell proliferation	cancer	cancer	go down;	
T-302	animal products	animal products	alcohol	alcohol	and	
T-302	flax	flax	breast cancer	breast cancer	alone correlated with a 20-30% reduction in	
T-302	vegetables	vegetables	animal products	animal products	while decreasing cholesterol levels and consumption of methionine-containing	
T-302	diet	diet	fiber	fiber	including	
T-302	cancer	cancer	tumors	tumors		
T-302	exercise	exercise	cancer	cancer	and (4) a plant-based diet cut their breast	
T-302	seeds	seeds	cholesterol	cholesterol	that have been shown to lower	
T-302	meat	meat	dairy	dairy	(especially chicken and fish), eggs and	
T-302	soy	soy	vegetables	vegetables	and cruciferous	
T-302	eggs	eggs	dairy	dairy	and	
T-302	cancer	cancer	cancer	cancer	and a 36% lower risk of	
T-302	exercise	exercise	plant-based diet	plant-based diet	and (4) a	
T-302	harvard	harvard	women	women		
T-302	plant-based	plant-based	breast cancer	breast cancer	diet cut their	
T-302	breast cancer	breast cancer	flax	flax	patients found that	
T-302	plant foods	plant foods	lignans	lignans	(the only whole-food sources of	
T-302	flax	flax	cell proliferation	cell proliferation	group saw, on average, their tumor	
T-302	breast cancer	breast cancer	tumors	tumors		
