
T-1783	soy	soy	supplements	supplements	foods, rather than taking soy	
T-1783	supplements	supplements	herbalife	herbalife	exist including:	
T-1783	lutein	lutein	supplements	supplements	pills, creatine, copper	
T-1783	noni	noni	rice	rice	juice, and	
T-1783	supplements	supplements	neurotoxins	neurotoxins	may contain	
T-1783	supplements	supplements	liver	liver	may contain neurotoxins and/or	
T-1783	b12	b12	paralysis	paralysis	decficiency, which can result in	
T-1783	supplements	supplements	fish oil	fish oil	is	
T-1783	folate	folate	beans	beans	in	
T-1783	yeast	yeast	dha	dha	derived epa and	
T-1783	liver	liver	toxins	toxins		
T-1783	vitamins	vitamins	plants	plants	not produced by	
T-1783	antioxidant	antioxidant	supplements	supplements	vitamin	
T-1783	prostate	prostate	cancer	cancer		
T-1783	vegetarian	vegetarian	syndrome	syndrome	’s myelopathy is a	
T-1783	ddt	ddt	pollutants	pollutants	as well as other industrial	
T-1783	neurotoxins	neurotoxins	chlorella	chlorella	and/or liver toxins (a safer alternative is	
T-1783	spirulina	spirulina	neurotoxins	neurotoxins	and blue-green algae supplements may contain	
T-1783	cancer	cancer	vitamin e	vitamin e	risk, and antioxidant vitamin supplements such as	
T-1783	beans	beans	pills	pills	and greens is preferable to folic acid in	
T-1783	cancer	cancer	supplements	supplements	risk, and antioxidant vitamin	
T-1783	b12	b12	supplements	supplements	deficiency is an epidemic if no	
T-1783	prostate	prostate	antioxidant	antioxidant	cancer risk, and	
T-1783	beans	beans	folic acid	folic acid	and greens is preferable to	
T-1783	cancer	cancer	antioxidant	antioxidant	risk, and	
T-1783	variety	variety	herbalife	herbalife	of other potentially harmful supplements exist including:	
T-1783	algae	algae	neurotoxins	neurotoxins	supplements may contain	
T-1783	copper	copper	zinc	zinc	supplements (which may contribute to alzheimer’s),	
T-1783	neurotoxins	neurotoxins	liver	liver	and/or	
T-1783	yeast	yeast	epa	epa	derived	
T-1783	medicine	medicine	lead	lead	(see also here) has been found to contain	
T-1783	mercury	mercury	toxins	toxins	(which are neural and cardiac	
T-1783	supplements	supplements	vitamin c	vitamin c	such as	
T-1783	prostate cancer	prostate cancer	antioxidant	antioxidant	risk, and	
T-1783	syndrome	syndrome	vitamin b12	vitamin b12	coined to describe	
T-1783	vitamin c	vitamin c	airborne supplements	airborne supplements	and	
T-1783	spirulina	spirulina	supplements	supplements	and blue-green algae	
T-1783	prostate cancer	prostate cancer	vitamin e	vitamin e	risk, and antioxidant vitamin supplements such as	
T-1783	citrulline	citrulline	erectile dysfunction	erectile dysfunction	supplements may aid	
T-1783	myelopathy	myelopathy	syndrome	syndrome	is a	
T-1783	zinc	zinc	noni	noni	gel, kombucha tea,	
T-1783	algae	algae	toxins	toxins	supplements may contain neurotoxins and/or liver	
T-1783	fish	fish	liver	liver	oil, cod	
T-1783	supplements	supplements	health food	health food	(including bad advice from	
T-1783	zinc	zinc	tea	tea	gel, kombucha	
T-1783	plants	plants	synergistic effects	synergistic effects	that can display	
T-1783	folic acid	folic acid	pills	pills	in	
T-1783	syndrome	syndrome	b12	b12	coined to describe vitamin	
T-1783	algae	algae	yeast	yeast	and	
T-1783	prostate cancer	prostate cancer	supplements	supplements	risk, and antioxidant vitamin	
T-1783	prostate	prostate	vitamin e	vitamin e	cancer risk, and antioxidant vitamin supplements such as	
T-1783	cod	cod	liver	liver		
T-1783	supplements	supplements	health	health	(including bad advice from	
T-1783	phytonutrients	phytonutrients	synergistic effects	synergistic effects	in plants that can display	
T-1783	algae	algae	dha	dha	and yeast derived epa and	
T-1783	vitamin b12	vitamin b12	paralysis	paralysis	decficiency, which can result in	
T-1783	liver	liver	chlorella	chlorella	toxins (a safer alternative is	
T-1783	blue-green algae	blue-green algae	toxins	toxins	supplements may contain neurotoxins and/or liver	
